1225,454823032,39.5,1901 Woven Cotton Tie,0,,http://bim.shopstyle.com/pim/37/37/373765680970b01c5c878c38c2e09c32_best.jpg,"Blocky stripes mark a well-textured tie cut from pure cotton. <ul> <li>2 1/2"" width; 58"" length.</li> <li>100% cotton.</li> <li>Dry clean.</li> <li>By 1901; imported.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_striped,_cotton,False
1420,455182230,39.5,Polo Ralph Lauren Silk Tie Journal,462,Polo Ralph Lauren,http://bim.shopstyle.com/pim/49/c1/49c1083cc7cb76deef94f6665f748370_best.jpg,"Designed with a multitude of narrow-ruled pages, this journal features a lustrous ribbon bookmark and a handsome silk twill cover with diagonal stripes and embroidered shield crests. <ul> <li>Filled with narrow-ruled paper.</li> <li>8"" H x 5¾"" L x ¾"" D. Silk. Nylon. Imported.</li> </ul>",Ralph Lauren,_striped,_silk,False
1630,440682847,39.5,Michael Kors Silk Bow Tie,391,Michael Kors,http://bim.shopstyle.com/pim/aa/63/aa637d428d20253fdb3ec5f978e2c78f_best.jpg,Textured stripes elevate a sleek bow tie cut from pure silk. <ul> <li>Untied.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Michael Kors; made in the USA.</li> <li>Men's Furnishings.</li> </ul>,Nordstrom,_striped,_silk,False
4212,460358566,39.5,1901 'Spruce' Woven Silk & Wool Tie,0,,http://bim.shopstyle.com/pim/f2/10/f210f1775b7c299d73001e0c0eb27f43_best.jpg,"A fine blend of silk and wool forms a soft, hearty tie cast in diagonal stripes. <ul> <li>2 1/2"" width; 58"" length.</li> <li>50% silk, 50% wool.</li> <li>Dry clean.</li> <li>By 1901; imported.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_striped,_wool,False
4252,455522857,39.5,Original Penguin Woven Cotton Blend Tie,1767,Original Penguin,http://bim.shopstyle.com/pim/8d/f2/8df29a410c84b72e0d9ae526bde76954_best.jpg,"Broad stripes mark a slim tie cut from a smart cotton blend. <ul> <li>2 1/4"" width; 58"" length.</li> <li>50% cotton, 50% polyester.</li> <li>Dry clean.</li> <li>By Original Penguin; imported.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_striped,_cotton,False
4416,461718103,39.5,1901 'Smoak' Stripe Woven Silk & Cotton Tie,0,,http://bim.shopstyle.com/pim/83/df/83df161b55ffc1315f3df15f7365e4cf_best.jpg,"Go classic with a handsomely striped tie cut from a fine blend of silk and cotton. <ul> <li>2 1/2"" width; 56"" length.</li> <li>75% silk, 25% cotton.</li> <li>Dry clean.</li> <li>By 1901; imported.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_striped,_cotton,False
4571,460360234,39.5,1901 'Browne' Woven Wool & Silk Tie,0,,http://bim.shopstyle.com/pim/75/e9/75e99aed4b3346eae7f3d1502fd8ec06_best.jpg,"Classic diagonal stripes pattern a sharp tie cut from a silk-infused blend of wool. <ul> <li>2 1/2"" width; 58"" length.</li> <li>60% wool, 40% silk.</li> <li>Dry clean.</li> <li>By 1901; imported.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_striped,_wool,False
4583,443934671,39.5,Michael Kors Silk Bow Tie,391,Michael Kors,http://bim.shopstyle.com/pim/53/3a/533a0f6d9df718094022e59c976c9536_best.jpg,"Steely stripes pattern a fine bow tie cut from pure silk. <ul> <li>2"" bow width.</li> <li>Untied; adjustable.</li> <li>Dry clean.</li> <li>100% silk.</li> <li>By Michael Kors; made in the USA.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_striped,_silk,False
4618,461718498,39.5,1901 'Morrison Stripe' Woven Silk & Cotton Tie,0,,http://bim.shopstyle.com/pim/b8/22/b822230cdcf79d25953176a4e7429587_best.jpg,"Go classic with a handsomely striped tie cut from a fine blend of silk and cotton. <ul> <li>2 1/2"" width; 56"" length.</li> <li>75% silk, 25% cotton.</li> <li>Dry clean.</li> <li>By 1901; imported.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_striped,_cotton,False
4665,451161899,39.5,1901 'Brady' Woven Silk Blend Tie,22668,Brady,http://bim.shopstyle.com/pim/77/ee/77ee7e00701f8d3eacb6d9abebbac16d_best.jpg,"A medley of stripes texture a modern, slim tie crafted from a fine silk blend. <ul> <li>2 1/2"" width; 58"" length.</li> <li>74% silk, 26% viscose.</li> <li>Dry clean.</li> <li>By 1901; imported.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_striped,_silk,False
